caller_number,receiver_number,timestamp,duration_sec,tower_location
9123456780,9876543210,2026-07-02T21:41:00,325,Vijay Nagar
9123456780,9876543210,2026-07-12T08:33:00,692,Malviya Nagar
9456789012,9345678901,2026-07-11T18:34:00,895,Rajwada
9988776655,9871234560,2026-07-02T03:04:00,193,Vijay Nagar
9765432109,9871234560,2026-07-13T03:25:00,173,Malviya Nagar
9123456780,9876543210,2026-07-10T01:59:00,846,Bhawarkuan
9876543210,9988776655,2026-07-09T18:56:00,418,Vijay Nagar
9123456780,9988776655,2026-07-24T04:24:00,419,Sudama Nagar
9876543210,9123456780,2026-07-09T03:02:00,604,Vijay Nagar
9012345678,9345678901,2026-07-16T17:34:00,756,Vijay Nagar
9345678901,9456789012,2026-07-27T05:47:00,204,Vijay Nagar
9012345678,9345678901,2026-07-01T01:50:00,542,Sudama Nagar
9876543210,9456789012,2026-07-20T15:05:00,81,Vijay Nagar
9345678901,9456789012,2026-07-24T01:54:00,326,Bhawarkuan
9456789012,9345678901,2026-07-09T17:32:00,440,Bhawarkuan
9988776655,9123456780,2026-07-19T11:32:00,571,Malviya Nagar
9123456780,9988776655,2026-07-22T03:53:00,462,Bhawarkuan
9456789012,9345678901,2026-07-04T20:37:00,300,Sudama Nagar
9876543210,9345678901,2026-07-11T16:32:00,698,Vijay Nagar
9876543210,9988776655,2026-07-03T02:28:00,260,Bhawarkuan
9123456780,9988776655,2026-07-27T04:47:00,209,Bhawarkuan
9876543210,9988776655,2026-07-05T20:25:00,807,Bhawarkuan
9456789012,9345678901,2026-07-26T08:50:00,265,Malviya Nagar
9765432109,9012345678,2026-07-21T03:24:00,637,Sudama Nagar
9876543210,9345678901,2026-07-22T14:28:00,470,Vijay Nagar
9456789012,9345678901,2026-07-11T21:19:00,291,Bhawarkuan
9871234560,9012345678,2026-07-16T06:50:00,337,Sudama Nagar
9876543210,9123456780,2026-07-07T22:54:00,733,Rajwada
9012345678,9345678901,2026-07-16T01:24:00,565,Bhawarkuan
9123456780,9988776655,2026-07-27T13:58:00,722,Malviya Nagar
9876543210,9345678901,2026-07-01T06:26:00,370,Vijay Nagar
9765432109,9871234560,2026-07-23T05:16:00,234,Vijay Nagar
9123456780,9988776655,2026-07-19T09:37:00,751,Rajwada
9988776655,9876543210,2026-07-18T22:22:00,616,Sudama Nagar
9988776655,9123456780,2026-07-07T04:13:00,897,Bhawarkuan
9012345678,9765432109,2026-07-10T15:11:00,475,Vijay Nagar
9876543210,9765432109,2026-07-12T11:32:00,864,Malviya Nagar
9345678901,9456789012,2026-07-11T04:54:00,675,Malviya Nagar
9345678901,9456789012,2026-07-12T06:05:00,214,Malviya Nagar
9876543210,9123456780,2026-07-06T04:56:00,587,Rajwada
9012345678,9871234560,2026-07-28T13:47:00,631,Malviya Nagar
9123456780,9876543210,2026-07-27T08:04:00,36,Vijay Nagar
9876543210,9871234560,2026-07-04T11:00:00,616,Rajwada
9765432109,9871234560,2026-07-26T18:08:00,811,Malviya Nagar
9765432109,9012345678,2026-07-04T03:19:00,528,Vijay Nagar
9012345678,9345678901,2026-07-23T07:25:00,118,Bhawarkuan
9456789012,9765432109,2026-07-07T23:06:00,455,Rajwada
9456789012,9345678901,2026-07-22T03:45:00,456,Sudama Nagar
9876543210,9123456780,2026-07-21T12:23:00,259,Bhawarkuan
9456789012,9345678901,2026-07-02T07:20:00,516,Vijay Nagar
9123456780,9988776655,2026-07-16T11:44:00,296,Sudama Nagar
9765432109,9871234560,2026-07-24T12:17:00,205,Malviya Nagar
9012345678,9871234560,2026-07-22T16:01:00,671,Bhawarkuan
9876543210,9123456780,2026-07-11T02:02:00,424,Rajwada
9876543210,9345678901,2026-07-26T04:32:00,553,Vijay Nagar
9456789012,9345678901,2026-07-21T15:36:00,287,Vijay Nagar
9988776655,9876543210,2026-07-15T08:39:00,132,Sudama Nagar
9988776655,9123456780,2026-07-10T20:20:00,766,Bhawarkuan
9456789012,9345678901,2026-07-09T20:01:00,313,Rajwada
9871234560,9765432109,2026-07-13T11:37:00,56,Malviya Nagar
9876543210,9456789012,2026-07-05T16:03:00,22,Sudama Nagar
9012345678,9765432109,2026-07-09T09:22:00,62,Vijay Nagar
9871234560,9765432109,2026-07-19T05:40:00,513,Malviya Nagar
9345678901,9456789012,2026-07-07T18:57:00,840,Sudama Nagar
9876543210,9988776655,2026-07-26T09:33:00,792,Bhawarkuan
9345678901,9456789012,2026-07-21T12:04:00,463,Vijay Nagar
9876543210,9871234560,2026-07-28T17:52:00,767,Malviya Nagar
9988776655,9876543210,2026-07-13T01:03:00,686,Malviya Nagar
9988776655,9876543210,2026-07-08T02:58:00,12,Bhawarkuan
9456789012,9345678901,2026-07-02T11:39:00,247,Vijay Nagar
9456789012,9345678901,2026-07-11T14:57:00,280,Sudama Nagar
9123456780,9876543210,2026-07-25T18:48:00,240,Rajwada
9876543210,9988776655,2026-07-08T13:13:00,821,Vijay Nagar
9456789012,9345678901,2026-07-06T15:49:00,489,Vijay Nagar
9765432109,9012345678,2026-07-20T22:08:00,92,Sudama Nagar
9012345678,9345678901,2026-07-15T16:03:00,628,Vijay Nagar
9123456780,9871234560,2026-07-27T04:16:00,611,Malviya Nagar
9012345678,9456789012,2026-07-02T19:56:00,791,Rajwada
9876543210,9345678901,2026-07-09T06:14:00,609,Bhawarkuan
9871234560,9012345678,2026-07-16T20:03:00,428,Vijay Nagar
9876543210,9123456780,2026-07-19T17:37:00,720,Bhawarkuan
9765432109,9871234560,2026-07-21T16:47:00,100,Vijay Nagar
9123456780,9876543210,2026-07-25T16:39:00,483,Bhawarkuan
9012345678,9345678901,2026-07-23T16:29:00,650,Bhawarkuan
9123456780,9876543210,2026-07-14T02:36:00,458,Bhawarkuan
9345678901,9456789012,2026-07-15T03:25:00,574,Malviya Nagar
9876543210,9988776655,2026-07-22T00:01:00,130,Rajwada
9456789012,9345678901,2026-07-19T21:49:00,864,Bhawarkuan
9871234560,9456789012,2026-07-26T02:07:00,158,Bhawarkuan
9345678901,9456789012,2026-07-13T13:44:00,801,Bhawarkuan
9876543210,9345678901,2026-07-13T20:56:00,753,Vijay Nagar
9456789012,9345678901,2026-07-21T07:44:00,561,Bhawarkuan
9456789012,9345678901,2026-07-15T15:28:00,900,Rajwada
9871234560,9012345678,2026-07-18T10:18:00,249,Bhawarkuan
9012345678,9345678901,2026-07-18T08:24:00,405,Rajwada
9876543210,9123456780,2026-07-05T13:37:00,875,Bhawarkuan
9876543210,9765432109,2026-07-19T15:48:00,680,Rajwada
9012345678,9765432109,2026-07-04T15:43:00,882,Vijay Nagar
9456789012,9345678901,2026-07-23T04:58:00,564,Malviya Nagar
9988776655,9123456780,2026-07-11T08:28:00,774,Malviya Nagar
