sender_name,receiver_name,amount,timestamp,transaction_type
Vikram Singh,Sanjay Mehta,47354,2026-07-10T16:00:00,CASH
Vikram Singh,Suresh Yadav,6951,2026-07-28T00:00:00,CASH
Vikram Singh,Suresh Yadav,11402,2026-07-13T18:00:00,UPI
Rahul Sharma,Amit Verma,4177,2026-07-13T12:00:00,NEFT
Manoj Tiwari,Suresh Yadav,10040,2026-07-11T10:00:00,CASH
Ravi Kumar,Deepak Rao,12300,2026-07-08T06:00:00,UPI
Vikram Singh,Deepak Rao,25570,2026-07-27T10:00:00,CASH
Suresh Yadav,Sanjay Mehta,38717,2026-07-07T02:00:00,UPI
Sanjay Mehta,Manoj Tiwari,17144,2026-07-20T14:00:00,NEFT
Rahul Sharma,Ravi Kumar,30990,2026-07-13T06:00:00,CASH
Amit Verma,Rahul Sharma,48618,2026-07-15T17:00:00,CASH
Deepak Rao,Manoj Tiwari,28307,2026-07-11T16:00:00,NEFT
Deepak Rao,Vikram Singh,25711,2026-07-21T14:00:00,UPI
Suresh Yadav,Sanjay Mehta,37981,2026-07-16T07:00:00,CASH
Deepak Rao,Manoj Tiwari,19848,2026-07-01T22:00:00,CASH
Ravi Kumar,Amit Verma,1030,2026-07-25T03:00:00,CASH
Rahul Sharma,Deepak Rao,33053,2026-07-13T05:00:00,UPI
Manoj Tiwari,Vikram Singh,12960,2026-07-27T11:00:00,NEFT
Amit Verma,Manoj Tiwari,6867,2026-07-27T18:00:00,CASH
Rahul Sharma,Amit Verma,29389,2026-07-02T10:00:00,CASH
Manoj Tiwari,Sanjay Mehta,46076,2026-07-04T20:00:00,NEFT
Manoj Tiwari,Sanjay Mehta,27730,2026-07-08T11:00:00,UPI
Amit Verma,Ravi Kumar,35850,2026-07-16T14:00:00,CASH
Deepak Rao,Ravi Kumar,11283,2026-07-11T23:00:00,NEFT
Deepak Rao,Manoj Tiwari,22698,2026-07-05T21:00:00,NEFT
Vikram Singh,Sanjay Mehta,15285,2026-07-29T20:00:00,CASH
Ravi Kumar,Sanjay Mehta,37024,2026-07-16T14:00:00,UPI
Ravi Kumar,Rahul Sharma,17831,2026-07-23T21:00:00,UPI
Sanjay Mehta,Amit Verma,17681,2026-07-25T22:00:00,NEFT
Manoj Tiwari,Rahul Sharma,15823,2026-07-21T02:00:00,UPI
Manoj Tiwari,Deepak Rao,46813,2026-07-28T15:00:00,UPI
Sanjay Mehta,Manoj Tiwari,20304,2026-07-28T16:00:00,NEFT
Vikram Singh,Sanjay Mehta,3471,2026-07-02T14:00:00,NEFT
Sanjay Mehta,Rahul Sharma,6869,2026-07-11T00:00:00,CASH
Amit Verma,Suresh Yadav,30229,2026-07-16T19:00:00,CASH
Ravi Kumar,Deepak Rao,10626,2026-07-18T16:00:00,CASH
Vikram Singh,Ravi Kumar,32569,2026-07-27T06:00:00,NEFT
Deepak Rao,Rahul Sharma,24783,2026-07-10T06:00:00,NEFT
Sanjay Mehta,Vikram Singh,24268,2026-07-05T05:00:00,CASH
Manoj Tiwari,Deepak Rao,24006,2026-07-03T14:00:00,NEFT
Deepak Rao,Vikram Singh,46000,2026-07-20T09:00:00,UPI
Suresh Yadav,Manoj Tiwari,39634,2026-07-01T21:00:00,UPI
Manoj Tiwari,Vikram Singh,8752,2026-07-25T02:00:00,UPI
Vikram Singh,Ravi Kumar,36820,2026-07-09T20:00:00,CASH
Suresh Yadav,Ravi Kumar,15769,2026-07-15T00:00:00,UPI
Rahul Sharma,Amit Verma,9982,2026-07-06T13:00:00,CASH
Deepak Rao,Ravi Kumar,11935,2026-07-05T16:00:00,CASH
Rahul Sharma,Vikram Singh,1473,2026-07-16T06:00:00,UPI
Manoj Tiwari,Rahul Sharma,11919,2026-07-12T07:00:00,UPI
Amit Verma,Manoj Tiwari,28088,2026-07-23T10:00:00,UPI
Vikram Singh,Suresh Yadav,48672,2026-07-16T10:00:00,CASH
Vikram Singh,Suresh Yadav,33519,2026-07-10T10:00:00,CASH
Rahul Sharma,Manoj Tiwari,34673,2026-07-13T20:00:00,NEFT
Rahul Sharma,Sanjay Mehta,31890,2026-07-18T03:00:00,NEFT
Vikram Singh,Suresh Yadav,29569,2026-07-04T03:00:00,UPI
Manoj Tiwari,Deepak Rao,10221,2026-07-03T19:00:00,UPI
Deepak Rao,Sanjay Mehta,38862,2026-07-24T09:00:00,CASH
Manoj Tiwari,Suresh Yadav,39650,2026-07-23T15:00:00,NEFT
Sanjay Mehta,Deepak Rao,28693,2026-07-05T05:00:00,CASH
Vikram Singh,Ravi Kumar,36632,2026-07-10T04:00:00,NEFT
Sanjay Mehta,Vikram Singh,48389,2026-07-15T11:00:00,NEFT
Ravi Kumar,Suresh Yadav,6731,2026-07-14T08:00:00,NEFT
Manoj Tiwari,Sanjay Mehta,17204,2026-07-16T23:00:00,UPI
Sanjay Mehta,Rahul Sharma,6478,2026-07-04T15:00:00,UPI
Ravi Kumar,Rahul Sharma,24921,2026-07-06T13:00:00,CASH
Rahul Sharma,Deepak Rao,37304,2026-07-24T23:00:00,NEFT
Vikram Singh,Suresh Yadav,23673,2026-07-29T09:00:00,NEFT
Rahul Sharma,Amit Verma,39848,2026-07-14T07:00:00,NEFT
Vikram Singh,Deepak Rao,33753,2026-07-10T01:00:00,UPI
Sanjay Mehta,Vikram Singh,7592,2026-07-15T22:00:00,CASH
Manoj Tiwari,Rahul Sharma,47282,2026-07-25T11:00:00,UPI
Ravi Kumar,Sanjay Mehta,37263,2026-07-27T12:00:00,CASH
Rahul Sharma,Deepak Rao,18027,2026-07-02T05:00:00,UPI
Deepak Rao,Manoj Tiwari,20749,2026-07-15T11:00:00,NEFT
Rahul Sharma,Vikram Singh,9888,2026-07-25T03:00:00,CASH
Ravi Kumar,Rahul Sharma,9797,2026-07-28T00:00:00,UPI
Vikram Singh,Manoj Tiwari,35265,2026-07-10T04:00:00,NEFT
Ravi Kumar,Suresh Yadav,22840,2026-07-07T17:00:00,NEFT
Deepak Rao,Manoj Tiwari,21758,2026-07-25T05:00:00,CASH
Vikram Singh,Rahul Sharma,10696,2026-07-07T17:00:00,CASH
Rahul Sharma,Manoj Tiwari,45668,2026-07-12T14:00:00,NEFT
Ravi Kumar,Suresh Yadav,29469,2026-07-18T16:00:00,NEFT
Suresh Yadav,Ravi Kumar,34077,2026-07-05T20:00:00,NEFT
Ravi Kumar,Rahul Sharma,19062,2026-07-29T22:00:00,CASH
Sanjay Mehta,Deepak Rao,20712,2026-07-02T22:00:00,UPI
